,Ticker,SimFinId,IndustryId,Fiscal Year,EPS,PE,EPS Growth Rate,PEG,Market Cap,Price to Book,Debt to Equity,Change in Working Capital,"Selling, General & Administrative",Research & Development,Adj. Close
0,A,45846.0,106001.0,2008.0,1.8679245283018868,5.535555555555556,,,3836140000.0,1.4990777647518563,1.7381789761625634,-179000000.0,-1697000000.0,-704000000.0,10.34
1,A,45846.0,106001.0,2009.0,-0.08959537572254335,-229.36451612903227,-1.0479652011443918,218.86653858216206,7110300000.0,2.8282816229116947,2.0278440731901353,62000000.0,-1603000000.0,-642000000.0,20.55
2,A,45846.0,106001.0,2010.0,1.9376770538243626,14.145804093567252,22.626976149136436,0.6251743052333191,9675730000.0,2.9900278121137207,1.996291718170581,-52000000.0,-1752000000.0,-612000000.0,27.41
3,A,45846.0,106001.0,2012.0,3.26628895184136,8.373417172593236,0.6856725146198831,12.211977283696744,9654550000.0,1.8620154291224686,1.0320154291224686,-176000000.0,-1817000000.0,-668000000.0,27.35
4,A,45846.0,106001.0,2013.0,2.127536231884058,18.143051771117168,-0.3486380833867542,-52.03978749215002,13317000000.0,2.5178672716959727,1.0204197390811118,-89000000.0,-1184000000.0,-337000000.0,38.6
5,A,45846.0,106001.0,2014.0,1.6242603550295858,23.740036429872497,-0.23655337536075324,-100.35805404876596,13033280000.0,2.457254901960784,1.039027149321267,-185000000.0,-1199000000.0,-358000000.0,38.56
6,A,45846.0,106001.0,2015.0,1.1970149253731344,33.32456359102245,-0.2630399913003289,-126.69010300024587,13363150000.0,3.2045923261390885,0.7935251798561151,-315000000.0,-1189000000.0,-330000000.0,39.89
7,A,45846.0,106001.0,2018.0,0.9723076923076923,68.15743670886076,-0.18772300019182814,-363.07451212271724,21537750000.0,4.711824546051193,0.8685189236490921,-81000000.0,-1374000000.0,-385000000.0,66.27
8,A,45846.0,106001.0,2019.0,3.3679245283018866,25.09260504201681,2.4638464294244087,10.18432185640678,26874180000.0,5.6601053074978935,0.9907329401853412,-139000000.0,-1460000000.0,-404000000.0,84.51
10,AA,367153.0,110004.0,2018.0,1.2010582010582012,22.130484581497793,,,5023620000.0,0.6794184473897755,1.1555315120367866,-794000000.0,-248000000.0,-31000000.0,26.58
11,AA,367153.0,110004.0,2019.0,-6.081081081081081,-3.5372000000000003,-6.063102750327419,0.5833976671117745,3979350000.0000005,0.6760703363914374,1.4857288481141693,-265000000.0,-280000000.0,-27000000.0,21.51
12,AAL,68568.0,100006.0,2009.0,-4.993197278911564,-0.913242506811989,,,1340640000.0,-0.3842476354256234,-8.29091430209229,405000000.0,-853000000.0,,4.56
13,AAL,68568.0,100006.0,2010.0,-1.4144144144144144,-6.674140127388535,0.7167317180941158,-9.311908429469193,3143520000.0,-0.7968365019011406,-7.359442332065906,340000000.0,-976000000.0,,9.44
14,AAL,68568.0,100006.0,2012.0,-7.519339452483066,-1.6916379530916845,-4.316220886787391,0.3919257140592702,3173512800.0,-0.3973347689996244,-3.943533241517466,132000000.0,-1058000000.0,,12.72
15,AAL,68568.0,100006.0,2013.0,-6.545021108942126,-3.636351908396947,0.12957499122069782,-28.063686318939066,6669069400.0,-2.441988062980593,-16.480776272427683,-384000000.0,-1158000000.0,,23.8
16,AAL,68568.0,100006.0,2014.0,3.9263449298107944,12.940788674531575,1.5998979780900067,8.088508674772234,37295352960.0,18.45391042058387,20.387926768926274,-1686000000.0,-1544000000.0,,50.81
17,AAL,68568.0,100006.0,2015.0,11.071425973478043,3.6553556964520366,1.8197792530702495,2.008680827789901,27817256850.0,4.936514081632653,7.591836734693878,-186000000.0,-1394000000.0,,40.47
18,AAL,68568.0,100006.0,2018.0,3.032255293561826,10.42128611898017,-0.7261188124433391,-14.352039832039704,14714856000.0,-87.07015384615384,-359.46153846153845,-566000000.0,-1520000000.0,,31.6
19,AAL,68568.0,100006.0,2019.0,3.7949980754903,7.5309656109134036,0.25154306220454187,29.939071047762035,12697208020.0,-107.60345779661017,-509.43220338983053,-867000000.0,-1602000000.0,,28.58
24,AAMC,847094.0,104001.0,2015.0,-1.4935434886724486,-11.489454528875381,-1.070879135811529,10.728992791673443,37800305.4,0.03113927248373233,1.0747822533941944,6329000.0,-7583000.0,,17.16
25,AAMC,847094.0,104001.0,2018.0,-6.74930992712036,-4.398968238322913,-3.5189912301245103,1.250065132491753,47843178.56,1.1231847722790873,0.15895858766081322,-1536000.0,-3609000.0,,29.69
26,AAMC,847094.0,104001.0,2019.0,-1.6434458398744114,-7.514698507462686,0.7565016486691997,-9.933485962234416,19635907.2,0.4671878943611706,0.26690459195812516,-1405000.0,-4147000.0,,12.35
28,AAOI,671827.0,101004.0,2013.0,-0.14109446555453586,-106.3826277027027,,,149573974.55,2.371291826656309,0.7606576089541354,-10115000.0,-14823000.0,-8512000.0,15.01
29,AAOI,671827.0,101004.0,2014.0,0.28201823919874425,39.784660849871585,2.9987902295837285,13.26690358578173,170397702.42000002,1.4815645534379023,0.5969637950822523,-6224000.0,-23138000.0,-15970000.0,11.22
30,AAOI,671827.0,101004.0,2015.0,0.6528215038544474,26.285898823311406,1.3148201538638435,19.992010881537983,283703706.0,1.7152789392858439,0.6534359544855439,-42921000.0,-26152000.0,-20852000.0,17.16
31,AAOI,671827.0,101004.0,2018.0,-0.10922787193973635,-141.26431034482758,-1.1673165961826064,121.01627853728316,303153210.0,0.9211751353716567,0.4185612621317921,-22346000.0,-48638000.0,-49903000.0,15.43
32,AAOI,671827.0,101004.0,2019.0,-3.3053648359806096,-3.594156950748687,-29.261184963891445,0.12283019143564786,237390472.44000003,0.8670404480740996,0.70502275433355,6473000.0,-51549000.0,-43399000.0,11.88
33,AAON,919501.0,100001.0,2010.0,0.38401340984509075,19.843057051246916,,,434443891.08,3.7214974522653095,0.37295162713403407,320000.0,-22546000.0,,7.62
34,AAON,919501.0,100001.0,2012.0,0.4939247827537999,17.6140179715108,0.28621753847879144,61.54066611405782,483487179.29999995,3.5000809296635196,0.40074274627902934,11368000.0,-26261000.0,,8.7
35,AAON,919501.0,100001.0,2013.0,0.6754590578750238,29.772344845393775,0.36753425108395676,81.00563350922307,1117862231.91,6.811830353003547,0.3128343875300111,3228000.0,-33989000.0,,20.11
36,AAON,919501.0,100001.0,2014.0,0.7975218486815804,26.732809935232574,0.18071086527518465,147.9313924734084,1180467421.1200001,6.781995881396539,0.304006112869774,-2794000.0,-40562000.0,,21.32
37,AAON,919501.0,100001.0,2015.0,0.8393310285013529,26.580692530615813,0.05242386762054125,507.0341761698005,1215481908.04,6.793513833376183,0.3014565331604422,-6623000.0,-37438000.0,,22.31
38,AAON,919501.0,100001.0,2018.0,0.8083095865968858,42.68166624776849,-0.036959722506454545,-1154.8156575124362,1817043895.5,7.341621160085495,0.24524543533509227,-15986000.0,-47755000.0,,34.5
39,AAON,919501.0,100001.0,2019.0,1.0204346256223116,47.96975599504757,0.2624304382167562,182.79036654820743,2576503564.25,8.880208052147239,0.28015440821672294,1774000.0,-52077000.0,,48.95
43,AAP,184955.0,103002.0,2009.0,2.842650321196892,13.765323053707286,,,3721771690.0000005,2.902271732307105,1.3963247593313917,185980000.0,-2189841000.0,,39.13
44,AAP,184955.0,103002.0,2010.0,3.970546727095405,16.179132098262404,0.39677634547171964,40.77645324099991,5598837200.0,5.386739710633516,2.2271511505964168,92475000.0,-2376382000.0,,64.24
45,AAP,184955.0,103002.0,2012.0,5.234398206907726,13.5182684241752,0.3183066632077828,42.46932278433269,5240627120.0,4.328614100672837,2.810883674983109,84756000.0,-2440721000.0,,70.76
53,AAPL,111052.0,101001.0,2007.0,0.14040061403582046,43.30465391304348,,,151393070080.0,10.41791013487476,0.7442196531791907,1325000000.0,-2963000000.0,-782000000.0,6.08
54,AAPL,111052.0,101001.0,2008.0,0.24224173246663128,10.815642595195294,0.7253609190400553,14.910704879866904,66180917040.0,3.1469765592011414,0.8816928197812649,2045000000.0,-3761000000.0,-1109000000.0,2.62
55,AAPL,111052.0,101001.0,2009.0,0.324261876017379,19.95300859744991,0.33858799933263345,58.93005256175014,164313025800.0,5.193205619469026,0.5012958280657396,-560000000.0,-4149000000.0,-1333000000.0,6.47
