,Ticker,Adj. Close,Year
75002,JVA,5.09,2013
75254,JVA,5.13,2014
75506,JVA,3.85,2015
76260,JVA,3.53,2018
76512,JVA,4.6,2019
76683,PSTG,15.57,2015
77437,PSTG,16.08,2018
77689,PSTG,17.11,2019
78051,EXAS,3.22,2007
78304,EXAS,0.57,2008
78556,EXAS,3.39,2009
78808,EXAS,5.98,2010
79310,EXAS,10.59,2012
79562,EXAS,11.75,2013
79814,EXAS,27.44,2014
80066,EXAS,9.23,2015
80820,EXAS,63.1,2018
81072,EXAS,92.48,2019
81325,SIOX,144.24,2015
82079,SIOX,7.97,2018
82331,SIOX,5.12,2019
82643,CST,36.12,2013
82895,CST,43.2,2014
83147,CST,39.02,2015
83773,TESS,7.67,2007
84026,TESS,3.69,2008
84278,TESS,6.93,2009
84530,TESS,10.51,2010
85032,TESS,16.19,2012
85284,TESS,30.29,2013
85536,TESS,22.35,2014
85788,TESS,15.56,2015
86542,TESS,11.32,2018
86794,TESS,11.19,2019
86972,COVS,12.55,2013
87224,COVS,2.65,2014
87476,COVS,2.5,2015
88122,THO,26.11,2007
88375,THO,9.86,2008
88627,THO,24.16,2009
88879,THO,26.43,2010
89381,THO,31.52,2012
89633,THO,48.15,2013
89885,THO,49.6,2014
90137,THO,50.85,2015
90891,THO,49.43,2018
91143,THO,72.37,2019
91505,MLAB,21.99,2007
91758,MLAB,15.7,2008
92010,MLAB,23.63,2009
92262,MLAB,27.95,2010
92764,MLAB,47.9,2012
93016,MLAB,75.83,2013
93268,MLAB,75.19,2014
93520,MLAB,97.44,2015
94274,MLAB,207.05,2018
94526,MLAB,248.47,2019
94888,VRNT,9.96,2007
95141,VRNT,3.57,2008
95393,VRNT,9.81,2009
95645,VRNT,16.15,2010
96147,VRNT,14.96,2012
96399,VRNT,21.87,2013
96651,VRNT,29.69,2014
96903,VRNT,20.66,2015
97657,VRNT,21.55,2018
97909,VRNT,28.2,2019
98271,GME,41.73,2007
98524,GME,14.55,2008
98776,GME,14.74,2009
99028,GME,15.37,2010
99530,GME,17.49,2012
99782,GME,35.42,2013
100034,GME,25.15,2014
100286,GME,21.63,2015
101040,GME,12.2,2018
101292,GME,6.08,2019
101460,PLAY,26.74,2014
101712,PLAY,40.89,2015
102466,PLAY,43.9,2018
102718,PLAY,40.01,2019
103080,SMRT,2.41,2007
103333,SMRT,0.57,2008
103585,SMRT,5.42,2009
103837,SMRT,4.96,2010
104339,SMRT,4.59,2012
104591,SMRT,8.28,2013
104843,SMRT,9.18,2014
